x,y
1933.9392,3163.5
76.5,3261.2725
3100.3813,1712.9102
64.0,2737.0
2450.205,1218.0
3308.75,2720.0
1405.5,980.5225
2575.0,3927.6152
3114.2532,3256.5
68.79492,2290.3848
1068.9296,3320.4102
3948.6602,3456.0
3463.2725,1401.1602
96.5,3887.6506
565.7468,2191.1152
2691.1797,513.0161
1091.7789,1864.8813
320.83667,772.8686
2326.4102,2167.0
1793.1443,2449.5
82.650635,1182.2563
2332.205,99.0
722.05444,92.04175
951.0642,2626.0
2067.795,745.50635
3906.6025,610.6603
2856.8398,2469.6826
763.7949,3901.6602
74.339745,1743.0
2653.0,3436.0
3234.3782,99.79492
565.3397,1442.2437
1259.0,3898.2754
1921.8203,98.0
657.88477,3358.2532
3240.3398,3920.0
3924.0,2258.5898
914.9746,894.0
3076.0,963.0
3942.205,3948.0
3584.9712,3638.705
3927.5,1229.9392
1707.3397,3896.6152
3924.205,1820.0
2263.3848,3553.0254
1310.0,114.38476
1794.9746,1594.359
3919.5,65.971146
55.5,66.55444
3602.0,3063.0
